Symbol,StockName,Sector,Currency
A75.SI,ACE ACHIEVE INFOCOM LIMITED ,Communication Services,USD
S91.SI,ALIBABA PICTURES GROUP LIMITED ,Communication Services,HKD
YYB.SI,ARION ENTERTAINMENT SPORE LTD ,Communication Services,SGD
S7OU.SI,ASIAN PAY TELEVISION TRUST ,Communication Services,SGD
1B0.SI,MM2 ASIA LTD. ,Communication Services,SGD
CJLU.SI,NETLINK NBN TRUST ,Communication Services,SGD
B07.SI,NGSC LIMITED ,Communication Services,SGD
5BI.SI,POLARIS LTD. ,Communication Services,SGD
BAI.SI,SEVAK LIMITED ,Communication Services,SGD
1F0.SI,SHOPPER360 LIMITED ,Communication Services,SGD
T39.SI,SINGAPORE PRESS HLDGS LTD ,Communication Services,SGD
Z74.SI,SINGTEL ,Communication Services,SGD
40E.SI,SPACKMAN ENTERTAINMENT GRP LTD ,Communication Services,USD
CC3.SI,STARHUB LTD ,Communication Services,SGD
E27.SI,THE PLACE HOLDINGS LIMITED ,Communication Services,SGD
1D1.SI,UNUSUAL LIMITED ,Communication Services,SGD
OMK.SI,VIVIDTHREE HOLDINGS LTD. ,Communication Services,SGD
42F.SI,YINDA INFOCOMM LIMITED ,Communication Services,SGD
533.SI,ABR HOLDINGS LIMITED ,Consumer Discretionary,SGD
ADQU.SI,ACCORDIA GOLF TRUST ,Consumer Discretionary,JPY
5EF.SI,ADVENTUS HOLDINGS LIMITED ,Consumer Discretionary,SGD
L38.SI,AF GLOBAL LIMITED ,Consumer Discretionary,SGD
A34.SI,AMARA HOLDINGS LTD ,Consumer Discretionary,SGD
BQI.SI,ASIA FASHION HOLDINGS LIMITED ,Consumer Discretionary,USD
5AM.SI,ASIATRAVEL.COM HOLDINGS LTD ,Consumer Discretionary,USD
B58.SI,BANYAN TREE HOLDINGS LIMITED ,Consumer Discretionary,SGD
CTN.SI,BREADTALK GROUP LIMITED ,Consumer Discretionary,SGD
D2U.SI,CACOLA FURNITURE INTL LIMITED ,Consumer Discretionary,USD
BAC.SI,CAMSING HEALTHCARE LIMITED ,Consumer Discretionary,SGD
C04.SI,CASA HOLDINGS LIMITED ,Consumer Discretionary,SGD
573.SI,CHALLENGER TECHNOLOGIES LTD ,Consumer Discretionary,SGD
5TW.SI,CHASWOOD RESOURCES HLDGS LTD. ,Consumer Discretionary,USD
5OU.SI,CHINA ENVIRONMENT LTD. ,Consumer Discretionary,USD
RS1.SI,CHINA ENVIRONMENTAL RES GP LTD ,Consumer Discretionary,SGD
AZZ.SI,CHINA GAOXIAN FIBREFAB HLDGLTD ,Consumer Discretionary,SGD
J18.SI,CHINA JISHAN HOLDINGS LIMITED ,Consumer Discretionary,CNY
E90.SI,"CHINA SKY CHEM FIBRE CO., LTD. ",Consumer Discretionary,USD
FQ8.SI,CHINA SPORTS INTL LIMITED ,Consumer Discretionary,USD
AZW.SI,CHINA TAISAN TECH GRP HLDGSLTD ,Consumer Discretionary,USD
42E.SI,CHOO CHIANG HOLDINGS LTD. ,Consumer Discretionary,SGD
N0Z.SI,COMBINE WILL INTL HLDGS LTD ,Consumer Discretionary,HKD
C41.SI,CORTINA HOLDINGS LIMITED ,Consumer Discretionary,SGD
5SO.SI,DUTY FREE INTERNATIONALLIMITED ,Consumer Discretionary,MYR
5MQ.SI,EPICENTRE HOLDINGS LIMITED ,Consumer Discretionary,SGD
5G1.SI,EUROSPORTS GLOBAL LIMITED ,Consumer Discretionary,SGD
F10.SI,F J BENJAMIN HOLDINGS LTD ,Consumer Discretionary,SGD
AWK.SI,FUXING CHINA GROUP LIMITED ,Consumer Discretionary,CNY
5IG.SI,GALLANT VENTURE LTD. ,Consumer Discretionary,SGD
G13.SI,GENTING SINGAPORE LIMITED ,Consumer Discretionary,SGD
B16.SI,GL LIMITED ,Consumer Discretionary,USD
AVX.SI,HL GLOBAL ENTERPRISES LIMITED ,Consumer Discretionary,SGD
H18.SI,HOTEL GRAND CENTRAL LTD ,Consumer Discretionary,SGD
H15.SI,HOTEL PROPERTIES LTD ,Consumer Discretionary,SGD
H12.SI,HOTEL ROYAL LTD ,Consumer Discretionary,SGD
BOU.SI,INFORMATICS EDUCATION LTD. ,Consumer Discretionary,SGD
I15.SI,ISETAN SINGAPORE) LTD ,Consumer Discretionary,SGD
J17.SI,JACKSPEED CORPORATION LIMITED ,Consumer Discretionary,SGD
5OI.SI,JAPAN FOODS HOLDING LTD. ,Consumer Discretionary,SGD
C07.SI,JARDINE CYCLE & CARRIAGE LTD ,Consumer Discretionary,USD
42R.SI,JUMBO GROUP LIMITED ,Consumer Discretionary,SGD
1A0.SI,KATRINA GROUP LTD. ,Consumer Discretionary,SGD
1D0.SI,KIMLY LIMITED ,Consumer Discretionary,SGD
5TI.SI,KITCHEN CULTURE HOLDINGS LTD. ,Consumer Discretionary,SGD
BJZ.SI,KODA LTD ,Consumer Discretionary,USD
5I1.SI,KOP LIMITED ,Consumer Discretionary,SGD
VL6.SI,KOUFU GROUP LIMITED ,Consumer Discretionary,SGD
XCF.SI,KTMG LIMITED ,Consumer Discretionary,SGD
5EL.SI,LASSETERS INTL HOLDINGS LTD ,Consumer Discretionary,SGD
1D3.SI,LIFEBRANDZ LTD. ,Consumer Discretionary,SGD
5IE.SI,LORENZO INTERNATIONAL LIMITED ,Consumer Discretionary,USD
1H8.SI,LY CORPORATION LIMITED ,Consumer Discretionary,SGD
M04.SI,MANDARIN ORIENTAL INTL LTD ,Consumer Discretionary,USD
5OX.SI,MARY CHIA HOLDINGS LIMITED ,Consumer Discretionary,SGD
SJY.SI,MEGROUP LTD. ,Consumer Discretionary,SGD
1H4.SI,MEMORIES GROUP LIMITED ,Consumer Discretionary,USD
5RF.SI,MERCURIUS CAP INVESTMENT LTD ,Consumer Discretionary,SGD
M01.SI,METRO HOLDINGS LIMITED ,Consumer Discretionary,SGD
CNE.SI,MINDCHAMPS PRESCHOOL LIMITED ,Consumer Discretionary,SGD
5WJ.SI,MONEYMAX FINANCIAL SERVICESLTD ,Consumer Discretionary,SGD
1G6.SI,NO SIGNBOARD HOLDINGS LTD. ,Consumer Discretionary,SGD
543.SI,NOEL GIFTS INTERNATIONAL LTD ,Consumer Discretionary,SGD
RQ1.SI,OVERSEAS EDUCATION LIMITED ,Consumer Discretionary,SGD
O9E.SI,PARKSON RETAIL ASIA LIMITED ,Consumer Discretionary,SGD
AYD.SI,PLASTOFORM HOLDINGS LIMITED ,Consumer Discretionary,SGD
BCV.SI,QIAN HU CORPORATION LIMITED ,Consumer Discretionary,SGD
NR7.SI,RAFFLES EDUCATION CORP LTD ,Consumer Discretionary,SGD
LUY.SI,RAFFLES INFRASTRUCTUREHLDGSLTD ,Consumer Discretionary,CNY
1G1.SI,RE&S HOLDINGS LIMITED ,Consumer Discretionary,SGD
RCU.SI,REVEZ CORPORATION LTD. ,Consumer Discretionary,SGD
5DO.SI,SAKAE HOLDINGS LTD. ,Consumer Discretionary,SGD
528.SI,SECOND CHANCE PROPERTIES LTD ,Consumer Discretionary,SGD
S07.SI,SHANGRI-LA ASIA LIMITED ,Consumer Discretionary,HKD
URR.SI,SIM LEISURE GROUP LTD. ,Consumer Discretionary,SGD
Y45.SI,SINGAPORE MYANMAR INVESTCO LTD ,Consumer Discretionary,USD
5HH.SI,SINJIA LAND LIMITED ,Consumer Discretionary,SGD
AD8.SI,SINO TECHFIBRE LIMITED ,Consumer Discretionary,USD
5LE.SI,SITRA HOLDINGS INTL) LIMITED ,Consumer Discretionary,SGD
42G.SI,SK JEWELLERY GROUP LIMITED ,Consumer Discretionary,SGD
5KI.SI,SOUP RESTAURANT GROUP LIMITED ,Consumer Discretionary,SGD
NC2.SI,SRI TRANG AGRO-INDUSTRY PCL ,Consumer Discretionary,THB
DRX.SI,ST GROUP FOOD IND HLDG LIMITED ,Consumer Discretionary,SGD
H07.SI,STAMFORD LAND CORPORATION LTD ,Consumer Discretionary,SGD
S29.SI,STAMFORD TYRES CORPORATIONLTD ,Consumer Discretionary,SGD
S85.SI,STRACO CORPORATION LIMITED ,Consumer Discretionary,SGD
BHU.SI,SUTL ENTERPRISE LIMITED ,Consumer Discretionary,SGD
AWI.SI,THAKRAL CORPORATION LTD ,Consumer Discretionary,SGD
AGS.SI,THE HOUR GLASS LIMITED ,Consumer Discretionary,SGD
42L.SI,TLV HOLDINGS LIMITED ,Consumer Discretionary,SGD
T19.SI,TRANSCORP HOLDINGS LIMITED ,Consumer Discretionary,SGD
BCZ.SI,TRAVELITE HOLDINGS LTD. ,Consumer Discretionary,SGD
KUH.SI,TSH CORPORATION LTD ,Consumer Discretionary,SGD
T09.SI,TT INTERNATIONAL LIMITED ,Consumer Discretionary,USD
540.SI,TUNG LOK RESTAURANTS 2000 LTD ,Consumer Discretionary,SGD
BFU.SI,TYE SOON LTD ,Consumer Discretionary,SGD
1F1.SI,Y VENTURES GROUP LTD. ,Consumer Discretionary,USD
BPF.SI,YHI INTERNATIONAL LIMITED ,Consumer Discretionary,SGD
5SR.SI,ZHONGMIN BAIHUI RETAIL GRP LTD ,Consumer Discretionary,SGD
CGN.SI,BEST WORLD INTERNATIONAL LTD ,Consumer Staples,SGD
P8Z.SI,BUMITAMA AGRI LTD. ,Consumer Staples,IDR
G54.SI,CHINA ESSENCE GROUP LTD. ,Consumer Staples,USD
B0Z.SI,CHINA FISHERY GROUP LIMITED ,Consumer Staples,USD
P74.SI,CHINA KANGDA FOOD COMPANY LTD ,Consumer Staples,CNY
42W.SI,CHINA STAR FOOD GROUP LIMITED ,Consumer Staples,SGD
D01.SI,DAIRY FARM INT'L HOLDINGS LTD ,Consumer Staples,USD
D03.SI,DEL MONTE PACIFIC LIMITED ,Consumer Staples,USD
P34.SI,DELFI LIMITED ,Consumer Staples,USD
BKV.SI,DUKANG DISTILLERS HLDGS LTD ,Consumer Staples,CNY
5HG.SI,EDITION LTD. ,Consumer Staples,SGD
BQD.SI,ENVICTUS INTERNATIONAL HLDGLTD ,Consumer Staples,SGD
EB5.SI,FIRST RESOURCES LIMITED ,Consumer Staples,USD
F03.SI,FOOD EMPIRE HOLDINGS LIMITED ,Consumer Staples,USD
F99.SI,FRASER AND NEAVE LIMITED ,Consumer Staples,SGD
BLW.SI,GLOBAL PALM RESOURCES HLGS LTD ,Consumer Staples,IDR
E5H.SI,GOLDEN AGRI-RESOURCES LTD ,Consumer Staples,USD
DM0.SI,HANWELL HOLDINGS LIMITED ,Consumer Staples,SGD
5EV.SI,HOSEN GROUP LTD ,Consumer Staples,SGD
5JS.SI,INDOFOOD AGRI RESOURCES LTD. ,Consumer Staples,IDR
